timestep,performance,constraint_violation,converge_fail
0.23,69196600,325.133,1
0.24,83482.6,3.79201e-07,1
0.25,127040,3.11266e-05,1
0.26,204539,1.80488e-07,1
0.27,332699,3.9892e-12,1
0.28,324205,8.98839e-05,1
0.29,108225,5.6687e-12,0
0.3,72129.2,9.19828e-08,1
0.31,91337.5,2.02557e-07,1
0.32,77004.6,0.000908726,1
0.33,120085,1.03194e-08,0
0.34,296138,290.156,1
0.35,7057.13,2.14197e-09,0
0.36,838015,3.89951e-12,1
0.37,439877,58.3629,1
0.38,3722.43,1.36688e-08,0
0.39,70693.4,1.35836e-08,0
0.4,305931,1.55077e-12,1
0.41,3601.25,3.2593e-09,0
0.42,27972.9,1.17942e-05,0
0.43,210176,4.2895e-05,1
0.44,1376630,0.000569661,1
0.45,158051,1.51182e-12,0
0.46,838700,0.000101422,1
0.47,724183,4390.96,1
0.48,47907.3,1.13428e-12,0
0.49,158355,5.74356e-05,1
0.5,14496.8,1.10805e-12,1
0.51,161982,3.98048e-07,1
0.52,72740,1.43172e-12,1
0.53,201423,8.92207e-13,1
0.54,11098.6,1.57075e-10,0
0.55,41909.9,8.85146e-13,1
0.56,152583,7.25871e-06,1
0.57,28553.8,8.94811e-07,0
0.58,4500.45,5.62515e-07,1
0.59,12798.1,5.84802e-08,0
0.6,14628.6,0.000129655,1
0.61,91294.4,2.04223e-08,0
0.62,10990.1,1.90885e-12,1
0.63,502346,2.06626e-12,1
0.64,65618.5,2.00947e-08,0
0.65,19852.7,1.2136e-08,0
0.66,32152.1,1.18923e-08,0
0.67,199998,0.496971,1
0.68,141000,9.78357e-09,0
0.69,797005,0.0760653,1
0.7,40385,2.02894e-08,1
0.71,224863,5.59326,1
0.72,36183.4,1.4801e-12,1
0.73,27538.6,2.60047e-08,0
0.74,191997,2.61962e-07,1
0.75,407900,6.35765e-08,1
0.76,138884,6.76091e-09,0
0.77,289783,1.26601e-12,1
0.78,2867370,1.10032e-10,1
0.79,670005,2.7997e-12,1
0.8,100579,3.3113e-08,1
0.81,2105220,3.7056e-12,1
0.82,659057,0.333809,1
0.83,53416,2.19774e-12,1
0.84,24116.9,7.11056e-13,0
0.85,157961,7.35746e-08,0
0.86,11609,7.79587e-08,0
0.87,306801,8.10545e-06,1
0.88,135291,4.9235e-08,1
0.89,28996.1,2.00424e-06,1
0.9,71673.4,1.18626,1
0.91,25700.1,2.17129e-12,1
0.92,31189.4,1.88931e-10,1
0.93,81514.5,1.82582e-12,1
0.94,20091.8,5.1096e-07,0
0.95,14089.2,2.27894e-12,1
0.96,227813,9.15134e-12,0
0.97,91779,4.12991e-12,1
0.98,499719,4.65571e-05,1
0.99,7395.52,1.94152e-12,0
1,36283.3,2.74303e-06,1
0.23,69196600,325.133,1
0.24,83482.6,3.79201e-07,1
0.25,127040,3.11266e-05,1
0.26,204539,1.80488e-07,1
0.27,332699,3.9892e-12,1
0.28,324205,8.98839e-05,1
0.29,108225,5.6687e-12,0
0.3,72129.2,9.19828e-08,1
0.31,91337.5,2.02557e-07,1
0.32,77004.6,0.000908726,1
0.33,120085,1.03194e-08,0
0.34,296138,290.156,1
0.35,7057.13,2.14197e-09,0
0.36,838015,3.89951e-12,1
0.37,439877,58.3629,1
0.38,3722.43,1.36688e-08,0
0.39,70693.4,1.35836e-08,0
0.4,305931,1.55077e-12,1
0.41,3601.25,3.2593e-09,0
0.42,27972.9,1.17942e-05,0
0.43,210176,4.2895e-05,1
0.44,1376630,0.000569661,1
0.45,158051,1.51182e-12,0
0.46,838700,0.000101422,1
0.47,724183,4390.96,1
0.48,47907.3,1.13428e-12,0
0.49,158355,5.74356e-05,1
0.5,14496.8,1.10805e-12,1
0.51,161982,3.98048e-07,1
0.52,72740,1.43172e-12,1
0.53,201423,8.92207e-13,1
0.54,11098.6,1.57075e-10,0
0.55,41909.9,8.85146e-13,1
0.56,152583,7.25871e-06,1
0.57,28553.8,8.94811e-07,0
0.58,4500.45,5.62515e-07,1
0.59,12798.1,5.84802e-08,0
0.6,14628.6,0.000129655,1
0.61,91294.4,2.04223e-08,0
0.62,10990.1,1.90885e-12,1
0.63,502346,2.06626e-12,1
0.64,65618.5,2.00947e-08,0
0.65,19852.7,1.2136e-08,0
0.66,32152.1,1.18923e-08,0
0.67,199998,0.496971,1
0.68,141000,9.78357e-09,0
0.69,797005,0.0760653,1
0.7,40385,2.02894e-08,1
0.71,224863,5.59326,1
0.72,36183.4,1.4801e-12,1
0.73,27538.6,2.60047e-08,0
0.74,191997,2.61962e-07,1
0.75,407900,6.35765e-08,1
0.76,138884,6.76091e-09,0
0.77,289783,1.26601e-12,1
0.78,2867370,1.10032e-10,1
0.79,670005,2.7997e-12,1
0.8,100579,3.3113e-08,1
0.81,2105220,3.7056e-12,1
0.82,659057,0.333809,1
0.83,53416,2.19774e-12,1
0.84,24116.9,7.11056e-13,0
0.85,157961,7.35746e-08,0
0.86,11609,7.79587e-08,0
0.87,306801,8.10545e-06,1
0.88,135291,4.9235e-08,1
0.89,28996.1,2.00424e-06,1
0.9,71673.4,1.18626,1
0.91,25700.1,2.17129e-12,1
0.92,31189.4,1.88931e-10,1
0.93,81514.5,1.82582e-12,1
0.94,20091.8,5.1096e-07,0
0.95,14089.2,2.27894e-12,1
0.96,227813,9.15134e-12,0
0.97,91779,4.12991e-12,1
0.98,499719,4.65571e-05,1
0.99,7395.52,1.94152e-12,0
1,36283.3,2.74303e-06,1
